recipe_id,Calories kcal,Fat g,Saturated Fat g,Carbohydrates g,Net Carbohydrates g,Sugar g,Cholesterol mg,Sodium mg,Protein g,Manganese mg,Vitamin C mg,Magnesium mg,Phosphorus mg,Copper mg,Folate µg,Vitamin A IU,Fiber g,Vitamin B6 mg,Iron mg,Vitamin B1 mg,Zinc mg,Vitamin E mg,Vitamin B2 mg,Potassium mg,Calcium mg,Selenium µg,Vitamin B5 mg,Vitamin B3 mg,Vitamin K µg,Vitamin B12 µg,Vitamin D µg,Alcohol g
640064,526.27,19.18,10.45,67.07,62.84,10.48,125.07,1245.99,21.59,0.81,108.45,50.97,249.39,0.33,182.63,12497.3,4.23,0.46,4.86,0.65,1.62,2.74,0.72,826.36,404.52,31.59,1.5,5.42,8.81,0.47,1.23,
607953,750.13,48.22,22.46,42.63,37.24,9.78,173.36,1567.0,38.98,0.83,23.84,99.93,603.24,0.4,103.61,4080.18,5.39,0.41,4.83,0.14,4.43,5.77,0.7,1063.95,726.42,57.35,1.37,2.84,147.44,1.64,0.81,
648097,490.47,32.79,8.8,10.11,6.74,5.19,142.83,463.54,37.15,0.28,124.71,58.29,322.98,0.17,55.34,3305.91,3.37,1.05,2.85,0.19,2.89,3.16,0.33,665.41,51.21,28.27,2.06,14.12,17.38,0.59,0.38,
650651,380.88,8.22,3.44,40.3,37.06,9.76,196.17,1401.61,37.39,0.31,12.79,79.94,420.67,0.61,43.98,2093.18,3.23,0.17,13.06,0.05,2.39,2.09,0.18,806.95,346.54,4.89,0.48,1.36,76.21,0.24,,
636360,545.55,16.84,9.46,62.35,54.69,5.92,148.18,1544.96,38.76,1.11,118.34,78.68,396.52,0.31,111.08,1302.76,7.66,0.51,3.46,0.27,2.33,1.63,0.33,769.97,312.68,53.04,1.16,2.19,244.29,0.42,0.53,
638002,487.02,24.66,6.32,25.16,20.66,9.0,146.02,1197.26,38.56,0.57,51.66,82.95,451.73,0.47,67.72,1340.89,4.5,1.3,3.89,0.36,2.58,3.23,0.51,1119.89,144.87,51.31,3.14,16.15,21.48,0.84,0.26,2.06
656329,308.7,22.4,10.18,13.37,12.22,5.84,132.24,558.54,15.53,0.29,19.5,36.34,324.39,0.24,53.09,13546.59,1.15,0.31,2.42,0.15,2.59,3.06,0.61,621.21,361.95,17.26,1.15,1.34,72.64,1.39,0.68,
650045,428.86,14.27,7.69,46.68,43.2,8.21,56.48,1054.66,28.78,0.57,23.52,69.42,445.08,0.36,29.78,882.98,3.48,0.35,6.41,0.14,3.23,1.48,0.39,642.7,455.29,53.96,0.86,3.44,7.71,0.61,0.16,
649340,514.65,23.56,12.71,46.21,34.91,18.27,154.24,1919.64,32.89,1.06,17.74,101.16,572.01,0.51,119.08,1544.0,11.31,0.5,4.91,0.44,3.83,3.82,0.67,1287.03,705.29,30.88,1.93,5.2,22.19,1.89,0.85,
642638,351.26,16.61,3.17,34.39,34.27,0.17,5.1,190.77,16.76,,3.38,137.53,190.11,0.55,,59.46,,,5.8,0.3,0.23,2.03,0.09,663.73,212.65,1.88,,0.93,8.57,0.09,,
